code,code_digits,slug,name_fr,name_ar,type,region_code,province_code,cercle_code,population_2024,households_2024,population_2014,change_pct,area_km2,density_2024
02.167.13.09,021671309,iferni,Iferni,افرني,rural,02,02.167,02.167.13,4873,1311,6365,-23.44,119,40.95
02.167.13.01,021671301,azlaf,Azlaf,ازلاف,rural,02,02.167,02.167.13,4132,1102,4919,-16,85.69,48.22
02.167.13.29,021671329,tsaft,Tsaft,اتسافت,rural,02,02.167,02.167.13,8401,2168,9578,-12.29,151.1,55.6
02.167.13.21,021671321,tafersit,Tafersit,تفرسيت,rural,02,02.167,02.167.13,8202,2271,9133,-10.19,74.19,110.55
02.167.11.11,021671111,ijermaouas,Ijermaouas,اجرمواس,rural,02,02.167,02.167.11,5303,1351,7540,-29.67,166.93,31.77
02.167.11.25,021671125,temsamane,Temsamane,تمسمان,rural,02,02.167,02.167.11,12198,3268,13920,-12.37,101.22,120.51
02.167.11.07,021671107,boudinar,Boudinar,بودينار,rural,02,02.167,02.167.11,7996,2161,9863,-18.93,87.49,91.39
02.167.11.05,021671105,bni-marghnine,Bni Marghnine,بني مرغنين,rural,02,02.167,02.167.11,4950,1410,6263,-20.96,42.06,117.69
02.167.11.19,021671119,oulad-amghar,Oulad Amghar,أولاد أمغار,rural,02,02.167,02.167.11,5755,1422,6010,-4.24,62.98,91.37
02.167.11.27,021671127,trougout,Trougout,اتروكوت,rural,02,02.167,02.167.11,11348,2754,11458,-0.96,110.79,102.43
02.167.17.09,021671709,mtalssa,Mtalssa,امطالسة,rural,02,02.167,02.167.17,16778,3960,16787,-0.05,539.71,31.09
